Hospital,Tender Reference,Subject,Tendering Procedure,Contractor(s) & Address(es),Item,Contract Period,Estimated Contract Amount,Date of Award
Hospital Authority Head Office,L/M(Q23-021) to HAHO(S)/P/45,Supply of Doctors’ Gown for Hospital Authority,Open,"Krystal Artfield International Limited  Unit 1427A,14/F, Star House  3 Salisbury Road,  Tsim Sha Tsui, Kowloon  Hong Kong",-,23 Jan 2024 - 22 Jan 2025,HKD0.76Mn,22-January-2024
Kowloon West Cluster,KWC/M/082-23,"Provision of Comprehensive Maintenance Service for Medical Gas  Pipeline System for Caritas Medical Centre, Kowloon West Cluster, Hospital  Authority",Open,"MGI (Far East) Limited  Tower A, 5/F, 6/F & Units 704B-705, 7/F, Manulife Financial Centre,  223-231 Wai Yip Street,  Kwun Tong, Kowloon, Hong Kong",-,1 April 2024 - 31 March 2026,HKD2.38Mn,23-January-2024
Kowloon West Cluster,KWC/A/075-23,"Supply of Spacer with Mouth Piece and Mask for Pressurized  Metered Dose Inhaler for Kowloon West Cluster, Hospital Authority",Open,"Medpower Company Limited Unit B, 11/F, Wang Kwong Industrial Building, 45 Hung To Road, Kwun Tong,  Kowloon, Hong Kong",-,1 March 2024  - 28 February 2027,HKD1.62Mn,23-January-2024
Kowloon West Cluster,KWC/M/078-23,"Provision of Maintenance Service for Fire Services Installation  for Caritas Medical Centre, Kowloon West Cluster, Hospital Authority",Open,"Merry China Asia Limited  Flat A, 13/F, Wah Wing Industrial Building, 14-20 Wing Yip Street, Kwai  Chung, N.T., Hong Kong",-,1 April 2024 - 31 March 2027,HKD3.11Mn,23-January-2024
Kowloon West Cluster,KWC/M/080-23,"Provision of Maintenance Service for Air Conditioning Systems at  Wai Oi Block for Caritas Medical Centre, Kowloon West Cluster, Hospital  Authority",Open,"Sing Kin Limited  Unit 1013, 10/F, Heng Ngai Jewelry Centre, 4 Hok Yuen Street East, Hung  Hom, Kowloon, Hong Kong",-,1 April 2024 - 31 March 2027,HKD1.98Mn,23-January-2024
Kowloon West Cluster,KWC/N/009-23,"Provision of Security and Carpark Management Services for  Hospital Authority Supporting Services Centre, Hospital Authority",Open,"China Overseas Property Services Limited  19/F, China Overseas Building  139 Hennessy Rd, Wanchai, Hong Kong",-,1 April 2024  - 30 September 2024,HKD3.75Mn,23-January-2024
Kowloon West Cluster,KWC/P/087-23,"Provision of Cleansing Service of Ventilation Units for Princess  Margaret Hospital, Kowloon West Cluster, Hospital Authority",Open,"Dusservice Health Care (HK) Limited 6/F, Por Yen Building, 478 Castle Peak Road, Cheung Sha Wan, Kowloon",-,1 May 2024 - 30 April 2026,HKD3.15Mn,23-January-2024
Kowloon West Cluster,KWC/K/003-23,"Supply and Installation of Television Sets for Kwai Chung  Hospital, Kowloon West Cluster, Hospital Authority",Open,"Compuvision Engineering Limited  Unit 501, 5/F, Belgian Bank Building,  721-725 Nathan Road,  Mong Kok, Kowloon",-,1 February 2024  - 31 January 2027,HKD2.71Mn,23-January-2024
Hong Kong East Cluster,1110483148,"Supply and Installation of Nucleic Acid Processors, Sequencing,  Cluster Generation for Pamela Youde Nethersole Eastern Hospital, Hong Kong  East Cluster, Hospital Authority",Selective,"Illumina Hong Kong Limited  17/F, Far East Finance Centre  16 Harcourt Road  Hong Kong",-,Reagents: 2 years from the mutually agreed date,HK$1.35Mn,23-January-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/03/003/2324,"Provision of Agency Nurses and Patient Care Assistants for  Kowloon East Cluster, Hospital Authority",Open,"Quality Healthcare Nursing Agency Limited  6/F and Unit No. 701-702 & 704, Tower 1, The Quayside, 77 Hoi Bun Road,  Kwun Tong, Kowloon",-,1 March 2024  - 28 February 2027,HKD49.12Mn,25-January-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/03/003/2324,"Provision of Agency Nurses and Patient Care Assistants for  Kowloon East Cluster, Hospital Authority",Open,"Evercare Health Limited  Rm. 1301 & 03, 13/F, Leighton Centre, Causeway, Hong Kong",-,1 March 2024  - 28 February 2027,HKD33.21Mn,25-January-2024
Kowloon East Cluster,KEC/ADM/CONF/P&S/03/003/2324,"Provision of Agency Nurses and Patient Care Assistants for  Kowloon East Cluster, Hospital Authority",Open,"Bamboos Professional Nursing Services Limited  Rm. 204, 2/F, Wing On Plaza, 62 Mody Road, Tsimshatsui, Kowloon",-,1 March 2024  - 28 February 2027,HKD22.24Mn,25-January-2024
Hospital Authority Head Office,HAHO(S)/T/22-G057,Supply of Reagents and Controls for Haemoglobin Analyzers for  Hospital Authority,Limited  ( Proprietary products),"Bio-Rad Pacific Limited  Unit 1101, 11/F, Berkshire House, 25 Westlands Road, Quarry Bay, Hong Kong",-,1 May 2024  - 30 April 2027,HKD26.62Mn,29-January-2024
Hong Kong West Cluster,HKWC-T026/20(P-QMH),"Supply and Installation of Radiographic / Fluoroscopic Systems,  Cardiovascular and Provision of Maintenance Service for Division of  Cardiology, Department of Medicine for Redevelopment Project of Queen Mary  Hospital, Hong Kong West Cluster, Hospital Authority",Open,"Philips Electronics Hong Kong Limited  Level 19, Tower 1, Grand Century Place, 193 Prince Edward Road West, Mongkok, Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD66.22Mn,30-January-2024
Kowloon Central Cluster,KCC/T/H5/077/22/KH,"Supply and Installation of Catering Equipment for Kowloon  Hospital, Kowloon Central Cluster, Hospital Authority",Open,"Polytek Engineering Company Limited 15/F, Excelsior Building, 68 Sha Tsui Road, Tsuen Wan, Hong Kong",-,1 December 2023 - 30 November 2024,HKD18.58Mn,1-December-2023
Kowloon Central Cluster,KCC/T/H5/112/20/KWH,"Provision of Maintenance Services (Labour-only) for  Central Control and Monitoring System (CCMS) for  Kwong Wah Hospital, Kowloon Central Cluster, Hospital Authority",Open,"Siemens Limited 10/F, Tower B, Manulife Financial Centre, 223-231 Wai Yip Street, Kwun  Tong, Kowloon, Hong Kong",Group A,1 April 2024 - 31 March 2027,HKD7.12Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-G045,"Supply and Installation of Scanning Systems, Ultrasonic,  Endoscopic for Hospital Authority",Selective,"Olympus Hong Kong & China Limited  L26, Tower 1, Kowloon Commerce Centre, 51 Kwai Cheong Road, Kwai Chung,  Hong Kong",-,1 December 2023 - 30 November 2025,HKD16.45Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-G043,"Supply and Installation of Hemodialysis Units, Continuous  Replacement Therapy, Renal for Hospital Authority",Selective,"Baxter Healthcare Ltd.  Suites 2701-3,  27/F Oxford House,  Taikoo Place, 979 King’s Road,  Hong Kong",-,1 December 2023  - 30 November 2025,HKD2.69Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/23-G012,"Supply and Installation of Monitors, Physiologic, Central  Station for Telemetry Monitoring in Hospital Authority",Open,"Medisource Supply (Asia) Co. Ltd. Unit 1-4, 32/F, New Trend Centre,  104 King Fuk Street, San Po Kong, Kowloon, Hong Kong",,1 December 2023  - 30 November 2025,HKD2.92Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/23-D026,Supply of Pembrolizumab Infusion 100mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,18 January 2024  -17 January 2027,HKD990.00Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-D193,Supply of Axitinib Tablets,Open,"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F, Wyler Centre 1, 202-210 Tai Lin Pai Road,Kwai Chung, Hong Kong",-,02 April 2024 -1 April 2027,HKD21.25Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/23-D113,Supply of Dequalinium Chloride Lozenges 0.25mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,1 May 2024  - 30 April 2027,HKD9.16Mn,1-December-2023
Hospital Authority Head Office,DSQ22-250,Supply of Everolimus (Afinitor) Dispersible Tab 5mg,Limited  (Extreme urgency requirement to meet operational need),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,16 June 2024  - 15 June 2026,HKD10.99Mn,1-December-2023
Hospital Authority Head Office,DSQ23-049,Supply of Dabrafenib (Mesylate) Capsule 75mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,5 December 2023  - 4 December 2025,HKD10.50Mn,1-December-2023
Hospital Authority Head Office,DSQ23-098,Supply of Abemaciclib Tablet 50mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,7 December 2023  - 6 December 2025,HKD9.27Mn,1-December-2023
Hospital Authority Head Office,DSQ23-117,Supply of Amivantamab (Rybrevant) Infusion 50mg/ml 7ml,Limited  (Extreme urgency requirement to meet operational need),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F, Wyler Centre 1, 202-210 Tai Lin Pai Road,Kwai Chung, Hong Kong",-,14 December 2023  - 13 December 2025,HKD9.56Mn,1-December-2023
Hospital Authority Head Office,DSQ23-102,Supply of Capmatinib (HCl) Tablet 200mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,22 February 2024  - 21 February 2026,HKD3.46 Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-G021,Supply of Food Products for Hospital Authority,Open,"The Asia Provisions Company Limited, G/F-2/F, 44-52 Ta Cheun  Ping Street, Kwai Chung, New Territories","Group No. 9 to 12, 17 to 21; 23 - 28",1 January 2024 - 31 December 2025,HKD47.68Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-G021,Supply of Food Products for Hospital Authority,Open,"Dah Chong Hong Limited, Provision Division, 8/F, 20 Kai Cheung  Road, Kowloon Bay, Hong Kong","Group No. 8A, 8B and 16",1 January 2024 - 31 December 2025,HKD15.98Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-G021,Supply of Food Products for Hospital Authority,Open,"Green Box Limited, T305 Cheung Sha Wan Wholesale Food Market, 36  Yen Chow Street West, Sham Shui Po, Kowloon, Hong Kong",Group No. 2 and 5,1 January 2024 - 31 December 2025,HKD24.28Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-G021,Supply of Food Products for Hospital Authority,Open,"V-care Asia Limited, Unit B, 19/F., Capital Trade Centre  Kwun Tong, Kowloon, Hong Kong",Group No.22,1 January 2024 - 31 December 2025,HKD6.65Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-G021,Supply of Food Products for Hospital Authority,Open,"San Kee Chan Limited, D6 Western Wholesale Food Market, Sai Ying  Pun, Hong Kong",Group No. 1,1 January 2024 - 31 December 2025,HKD14.49Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-G021,Supply of Food Products for Hospital Authority,Open,"Sims Trading Company Limited, 7/F., DCH Building, 20 Kai Cheung  Road, Kowloon Bay Hong Kong",Group No. 34,1 January 2024 - 31 December 2025,HKD7.18Mn,1-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-G021,Supply of Food Products for Hospital Authority,Open,"Vitasoy International Holdings Limited, No.6, Ho Tin Street,  Tuen Mun, New Territories",Group No. 32,1 January 2024 - 31 December 2025,HKD1.08Mn,1-December-2023
Hong Kong West Cluster,HKWC-T013/22(D1),"Provision of Maintenance Service for Laundry Equipment of Shum  Wan Laundry, Hong Kong West Cluster, Hospital Authority",Open,"Swedish Trading Company Limited  5/F., SML Tower,  165 Hoi Bun Road,  Kwun Tong,  Kowloon.",-,1 January 2023 - 31 December 2026,HKD4.92Mn,4-December-2023
Hong Kong West Cluster,HKWC-T011/20(P-QMH),"Supply and Installation of Information Systems, Picture  Archiving and Communication, Cardiology for Division of Cardiology,  Department of Medicine for  Redevelopment Project of Queen Mary Hospital,  Hong Kong West Cluster, Hospital Authority",Open,"Philips Electronics Hong Kong Limited  Level 19, Tower 1, Grand Century Place, 193 Prince Edward Road West, Mongkok, Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD4.98Mn,4-December-2023
Hong Kong West Cluster,HKWC-T015/22(P-GH),"Supply and Installation of Scanning System, Computed Tomography,  Spiral for Redevelopment Project of Grantham Hospital, Hong Kong West  Cluster, Hospital Authority",Open,"Siemens Healthcare Limited  Units 901-903 & 908B, 9/F, Tower B Manulife Financial Centre, 223-231  Wai Yip Street, Kwun Tong, Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD 25.00Mn,4-December-2023
Kowloon Central Cluster,KCC/T/H1/039/22/BTS,"Supply of Microcuvettes and Consumables with On-loan Analyzers  for Hong Kong Red Cross Blood Transfusion Service, Kowloon Central Cluster,  Hospital Authority",Open,"Nordep Healthtech  Unit 11, 12th Floor, Laurels Industrial Center, 32 Tai Yau Street, San Po  Kong, Kowloon, Hong Kong",-,5 December 2023 - 4 December 2026,HKD5.30Mn,5-December-2023
Kowloon Central Cluster,KCC/T/H10/075/22/QE,"Supply and Installation of Radiographic/Fluoroscopic Systems,  General-Purpose for Queen Elizabeth Hospital, Kowloon Central Cluster,  Hospital Authority",Open,"Siemens Healthcare Limited  United 901-903 & 908B, 9/F., Tower B, Manulife Financial Centre,  223-231 Wai Yip St., Kwun Tong, Kowloon",-,With effect from the date of Letter of Acceptance to fulfilment  of contract obligations,HKD10.28Mn,5-December-2023
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/026/2223,"Supply and Installation of Stereotactic Systems, Image-Guided,  Surgical for Operating Theatre of United Christian Hospital, Kowloon East  Cluster, Hospital Authority",Open,"Medtronic Hong Kong Medical Limited  Suite 1104-11, 11/F Tower 1, The Gateway , Harbour City, Tsim Sha Tsui, Kowloon",-,5 December 2023 - 4 December 2024,HKD1.92Mn,5-December-2023
Kowloon East Cluster,KEC/ADM/CONF/P&S/03/002/2324,"Leasing of Off-site Store (Equipment Library) for Procurement  and Materials Management Department of United Christian Hospital, Kowloon  East Cluster, Hospital Authority",Open,Grand Max (China) Limited,-,24 January 2024 - 23 January 2026,HKD2.87Mn,6-December-2023
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/011/2223,"Supply and Installation of Monitoring Systems, Physiologic,  Acute Care for Tseung Kwan O Hospital, Kowloon East Cluster, Hospital  Authority",Limited  (Absence of competition for technical reasons),"Vesta Technology and System Limited  Flat F, 5/F, Effort Industrial Centre, 2 Kung Yip St, Kwai Chung, New  Territories",-,Equipment: With effect from the date of contract award until  fulfilment of the contractual obligations,HKD9.15Mn,7-December-2023
Kowloon Central Cluster,KCC/T/21/015/22/HCH,Provision of Security Services for Hong Kong Children's  Hospital,Open,"ISS Adams Secuforce Limited  3/F, 163 Hoi Bun Road,  Kwun Tong, Kowloon",-,1 February 2024 - 31 January 2027,HKD73.26Mn,7-December-2023
Hong Kong West Cluster,HKWC-T018/22(D2),"Supply and Installation of Telephone System for Tung Wah  Hospital, Hospital Authority",Open,"ST Engineering Infa Systems Limited  17/F., 169 Electric Road, North Point,  Hong Kong.",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HK$2.28Mn,7-December-2023
Hong Kong West Cluster,HKWC-T003/21(P-QMH),"Supply and Installation of Public Address System for  Redevelopment Project, Queen Mary Hospital, Hong Kong West Cluster, Hospital Authority",Open,"China Mobile Hong Kong Company Limited  L12, L19, L20, L21 & L22, Tower 1, Kowloon Commerce Centre,  51 Kwai Cheong Road, Kwai Chung, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD4.46Mn,7-December-2023
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/013R/2223,"Supply and Installation of Scanning Systems, Laser, Optical  Coherence Tomography, Ophthalmic for the Department of Ophthalmology of  Tseung Kwan O Hospital and Expansion of United Christian Hospital, Kowloon  East Cluster, Hospital Authority",Open,"Global Vision Hong Kong Limited Unit 1202, 12/F, Pilkem Commercial Centre, 8 Pilkem Street, Jordan,  Kowloon, Hong Kong",-,8 December 2023 - 7 December 2030,HKD7.70Mn,8-December-2023
New Territories East Cluster,NTEC/P&MM/T1C/2324-T22,"Supply and Installation of Smart Nursing e-Pump System for New  Territories East Cluster, Hospital Authority",Open,"Gold Together Technology Limited  Unit 542, 5/F, Building 5W, Hong Kong Science and Technology Parks, New  Territories, Hong Kong",-,8 December 2023 - 7 December 2025,HKD17.31Mn,8-December-2023
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/003/2324,"Supply and Installation of Lights, Examination, Ceiling-Mounted  for Kowloon East Cluster Hospitals, Kowloon East Cluster, Hospital Authority",Open,"Draeger Hong Kong Limited  Room 01-02, 17/F, Apec Plaza, 49 Hoi Yuen Road, Kwun Tong, Kowloon",-,11 December 2023 - 10 December 2025,HKD3.64Mn,11-December-2023
Kowloon Central Cluster,KCC/T/H4/115/22/HKE,"Supply of Ophthalmic Surgical Pack for Hong Kong Eye Hospital, Kowloon Central Cluster,  Hospital Authority",Open,"GRI-Alleset Limited 19/F, China Building,  29 Queen’s Road Central,  Central, Hong Kong",-,13 December 2023 -12 December 2026,HKD3.04Mn,13-December-2023
Kowloon Central Cluster,KCC/T/72/007/23/HCH,"Provision of Shuttle Bus Services for Hong Kong Children’s Hospital, Kowloon Central Cluster, Hospital Authority",Open,"Bus Buddy Limited No. 100 Hang Tau Tsuen,  Ping Shan, Yuen Long, New Territories",-,18 February 2024 - 17 February 2026,HKD3.69Mn,13-December-2023
Kowloon Central Cluster,KCC/T/H8/104/22/QE,"Supply and Installation of Stereotactic Systems, Image-Guided,  Biopsy for Queen Elizabeth Hospital, Kowloon Central Cluster, Hospital  Authority",Open,"Medtronic Hong Kong Medical Limited  Rm 1104-11, 11/F, Tower 1, The Gateway, Tsim Sha Tsui, Kowloon",-,13 December 2023 - 12 December 2031,HKD4.49Mn,13-December-2023
Kowloon East Cluster,KEC/ADM/CONF/P&S/04/002/2324,"Supply and Installation of Autonomous Mobile Robot System (with  the first year of trolley modification service and five years of  post-warranty comprehensive maintenance service) for United Christian  Hospital, Kowloon East Cluster, Hospital Authority",Open,"Time Medical International Company Limited  Unit 301, Building 20E, Hong Kong Science & Technology Park, Shatin,  N.T., Hong Kong",-,With effect from the date of acceptance to the fulfilment of  contractual obligation,HKD3.09Mn,13-December-2023
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/001/2324,"Supply and Installation of Ventilators, Intensive Care for  United Christian Hospital, Kowloon East Cluster, Hospital Authority",Open,"Getinge Group Hong Kong Ltd  26/F, Port 33, 33 Tseuk Luk Street, San Po Kong, Hong Kong",-,Equipment: With effect from the date of contract award until  fulfilment of the contractual obligations,HKD3.72Mn,13-December-2023
Kowloon Central Cluster,KCC/T/H2/061/23/KC,"Provision of Collection and Delivery Services of Pathology  Specimens for Kowloon Central Cluster, Hospital Authority",Open,"Winner Logistics Solution Limited  Room 1203,,12/F, Hale Weal Industrial Building, 22-28 Tai Chung Road, Tsuen  Wan, Hong Kong",,1 May 2024 - 30 April 2026,HKD3.28Mn,14-December-2023
Kowloon Central Cluster,KCC/T/H2/059/23/KWH,"Provision of Transportation Service for Kwong Wah Hospital,  Kowloon Central Cluster, Hospital Authority",Open,"Da Da Transportation Limited Flat A, 7/F, Fook Shing Industrial Building, No. 1A Yuk Yat Street, To Kwa  Wan, Kowloon",,4 March 2024  - 3 March 2027,HKD3.92Mn,14-December-2023
Kowloon West Cluster,KWC/N/006-23,"Provision of Domestic and Transportation Services for Hospital  Authority Supporting Services Centre, Kowloon West Cluster, Hospital  Authority",Open,"Baguio Cleaning Services Company Limited  Unit A, 4/F, Dragon Industrial Building, No. 93, King Lam Street, Lai Chi  Kok, Kowloon",-,1 April 2024 - 30 June 2026,HKD27.09Mn,14-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-S032,Provision of Maintainance Services for Gaseous Apparatus for  Hospital Authority,Open,"Linde HKO Limited  12 Chun Yat Street, Tseung Kwan O Industrial Estate, Kowloon, Hong Kong",-,1 January 2024 - 31 December 2028,HKD28.47Mn,14-December-2023
Kowloon Central Cluster,KCC/T/H6/027/23/QE,"Supply and Installation of Video Systems, Endoscopic for Queen  Elizabeth Hospital, Kowloon Central Cluster, Hospital Authority",Limited  (Absence of competition for technical reasons),"Karl Storz Endoscopy China Limited  25/F., AXA Tower, Landmark East 100 How Ming Street, Kwun Tong, Kowloon, Hong Kong",,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD3.2Mn,14-December-2023
Kowloon Central Cluster,KCC/T/H8/066/22/KWH,"Supply and Installation of Stereotactic Systems, Image-Guided,  Surgical for Kwong Wah Hospital, Kowloon Central Cluster, Hospital Authority",Open,"Stryker China Limited 9/F, 12 Taikoo Wan Road,  Taikoo Shing, Hong Kong",-,With effect from the date of Letter of Acceptance to fulfillment  of contractual obligation,HKD2.74Mn,14-December-2023
New Territories West Cluster,NWT00223,"Provision of Convenience Store Services for Tuen Mun Hospital,  New Territories West Cluster, Hospital Authority",Open,"The Dairy Farm Company, Limited  7-Eleven Property Dept,  5/F, Devon House, Tai Koo Place,  979 King's Rd, Quarry Bay, HK",-,1 March 2024 - 28 February 2027,HKD9.97Mn,14-December-2023
Kowloon Central Cluster,KCC/T/FF/025/22/KC,"Supply and Installation of Densitometers, Bone, X-Ray,  Dual-Energy Absorptiometry and Provision of Maintenance Services for New  Acute Hospital at Kai Tak Development Area, Kowloon Central Cluster, Hospital Authority",Open,"Prism Technologies Limited  Room 603 - 605, 6/F, Yee Kuk Industrial Centre, 555 Yee Kuk Street,  Cheung Sha Wan, Kowloon",-,With effect from the date of acceptance to the fulfilment of  contractual obligations,USD0.34Mn,18-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-S039,"Provision of Maintainance Services for ""GE"" Anesthesia  Units for Hospital Authority",Limited  ( Proprietary products),"Linde HKO Limited  12 Chun Yat Street, Tseung Kwan O Industrial Estate, Kowloon, Hong Kong",-,1 January 2024 - 31 December 2028,HKD51.47Mn,18-December-2023
Hong Kong West Cluster,HKWC-T012/20(P-QMH),"Supply and Installation of Monitors, Physiologic, Multipurpose,  Bedside with Clinical Information Systems for Departments of Adult Intensive  Care Unit and Cardiothoracic Surgery for Redevelopment Project, Queen Mary  Hospital, Hong Kong West Cluster, Hospital Authority",Selective,"Philips Electronics Hong Kong Limited  Level 19, Tower I, Grand Century Place, 193 Prince Edward Road West,  Mongkok, Kowloon, Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD45.21Mn,18-December-2023
Hong Kong West Cluster,HKWC-T016/20(P-QMH),"Supply and Installation of Monitors, Physiologic, Multipurpose,  Bedside for Dept/Unit of Surgery, Neurosurgery and Neurology of Redevelopment  Project for Queen Mary Hospital, Hong Kong West Cluster, Hospital Authority",Open,"Vesta Technology and System Ltd  Flat F, 5/F, Effort Industrial Building, 2 Kung Yip Street, Kwai Chung,  N.T., Hong Kong",-,With effect from the date of Letter of Acceptance to the  fulfilment of contractual obligations,HKD15.41Mn,19-December-2023
Hospital Authority Head Office,HAHO(S)/T/22-G036,"Supply and Installation of Table, Operating, General Purpose for  Hospital Authority",Open,"Getinge Group Hong Kong Limited  26/F, Port 33  33 Tseuk Luk Street  San Po Kong  Kowloon, Hong Kong",-,19 December 2023 - 18 December 2025,HKD16.21Mn,19-December-2023
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/012/2223,"Supply and Installation of Washer/Decontamination Units,  Surgical Instrument for Tseung Kwan O Hospital, Kowloon East Cluster, Hospital Authority",Open,"Antercare Limited  201B, Shui Hing Centre, 13 Sheung Yuet Road, Kowloon Bay, Hong Kong",-,"(i) Equipment: With effect from the date of contract award until  fulfilment of the contractual obligations  (ii) Post-Warranty Maintenance Service: 9 years, commencing from the expiry  of warranty period",HKD7.92Mn,22-December-2023
Kowloon East Cluster,KEC/ADM/CONF/P&S/01/017/2223,"Supply and Installation of Microscopes, Light, Operating,  Ophthalmology for Tseung Kwan O Hospital, Kowloon East Cluster, Hospital Authority",Open,"Newtech International Trading Limited  Room 1903 One Portside, 29 Tai Yau Street, San Po Kong, Kowloon, Hong Kong",-,"(i) Equipment: With effect from the date of contract award until  fulfilment of the contractual obligations  (ii) Post-Warranty Maintenance Service: 9 years, commencing from the expiry  of warranty period",HKD3.35Mn,22-December-2023
Hospital Authority Head Office,HAHO(S)/T/23-G008,Supply of Dilation Balloon Catheters for Endoscopic Procedures for Hospital Authority,Open,"Boston Scientific Hong Kong Limited  Suite 2601-02 & 09-11, 26/F, Dorset House,  Taikoo Place, 979 King’s Road,  Quarry Bay, Hong Kong",-,1 March 2024  -28 February 2027,HKD16.49Mn,22-December-2023
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Boston Scientific Hong Kong Limited  Suite 2601-02 & 09-11, 26/F, Dorset House,  Taikoo Place, 979 King’s Road,  Quarry Bay, Hong Kong",-,1 March 2024  -28 February 2026,-,22-December-2023
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Caster (HK) Medical Supplies Co Ltd  Rm 1003, 10/F,  Chevalier Commercial Ctr, 8 Wang Hoi Rd, Kowloon Bay  Kowloon",-,1 March 2024  -28 February 2026,-,22-December-2023
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Conmed Ltd  Unit 2205-06, 22/F, Trendy Centre, 682-684 Castle Peak Road, Lai Chi Kok,  Kowloon",-,1 March 2024  -28 February 2026,-,22-December-2023
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Cook Asia Ltd  Level 41, AIA Tower, 183 Electric Road, North Point, Hong Kong",-,1 March 2024  -28 February 2026,-,22-December-2023
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Jiexiang Medical Products Co Ltd  Unit 2011, 20/F, Exchange Tower, 33 Wang Chiu Road, Kowloon Bay, Kowloon",-,1 March 2024  -28 February 2026,-,22-December-2023
Hospital Authority Head Office,NPS23-001,"Supply of Metal/Expandable Stents, ESD Knifes, Endoscopic  Urological Dilators and Balloon Fitted Overtube for Endoluminal Procedures  (excluding Endovascular & Cardiothoracic) under Nominated Product Scheme  for Hospital Authority",Open,"Keymax Technology (HK) Ltd  Unit 2103, 21/F, Kodak House II 39 Healthy Street East North Point, H.K.",-,1 March 2024  -28 February 2026,-,22-December-2023
